learnerid, totalconcepttime, totalconceptcount, complete_initial_questionaire_count, correct_answer_count, incomplete_answer_count, incorrect_answer_count, login_count, logout_count, reset_profile_count, view_concept_count, view_test_count, elgrid-easy, future-elgrid, future-use-tools, prac-apply-concepts, prac-env-easy, prac-good-eval, practical-access, practical-understood, tests-good-eval, theory-comp-prac, too-easy, too-hard, traffic-light-prac, traffic-understood, trafficlights-nav, tutor-req, projectmark, elgridmark, totalmark, gender, level
2, 2528613, 2518, 3, 118, 2, 18, 199, 151, 14, 2972, 122, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, F, postgrad
3, 1746, 9, 0, 9, 0, 2, 3, 2, 0, 13, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
8, 1246, 24, 1, 10, 0, 2, 8, 4, 0, 46, 6, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, academic
11, 57, 3, 0, 0, 0, 0, 1, 0, 0, 4, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
14, 184, 13, 0, 0, 0, 0, 1, 0, 0, 14, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
17, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, F, academic
22, 155, 9, 0, 0, 0, 0, 1, 0, 0, 10, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
24, 3636, 35, 0, 0, 0, 0, 5, 0, 0, 42, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postgrad
29, 3254, 105, 0, 0, 0, 0, 2, 1, 0, 111, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
33, 214, 5, 0, 0, 0, 0, 2, 1, 0, 7, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
34, 72530, 194, 1, 4, 0, 2, 10, 7, 0, 224, 3, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postgrad
39, 4806, 64, 0, 0, 0, 0, 3, 1, 0, 75, 0, Somewhat Agree, ?, ?, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Strongly Agree, Somewhat Disagree, Strongly Disagree, ?, Somewhat Disagree, Somewhat Disagree, Somewhat Agree, ?, ?, ?, M, ?
41, 11094, 109, 0, 0, 0, 0, 8, 5, 0, 134, 1, Somewhat Disagree, ?, ?, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Disagree, Somewhat Disagree, ?, Somewhat Disagree, Somewhat Agree, Somewhat Agree, ?, ?, ?, M, ?
43, 10871, 140, 1, 11, 0, 1, 9, 1, 0, 175, 3, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
44, 2849, 50, 0, 0, 0, 0, 10, 9, 0, 73, 1, Somewhat Agree, ?, ?, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Strongly Agree, Strongly Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Disagree, Somewhat Disagree, ?, Neither Agree nor Disagree, Strongly Disagree, Strongly Disagree, ?, ?, ?, M, ?
48, 1419, 24, 0, 0, 0, 0, 1, 0, 0, 27, 0, ?, ?, ?, ?, ?, ?, Neither Agree nor Disagree, Strongly Agree, ?, ?, Somewhat Disagree, Somewhat Disagree, ?, ?, ?, Strongly Disagree, ?, ?, ?, M, ?
50, 7808, 187, 0, 0, 0, 0, 8, 7, 0, 218, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, academic
53, 1288, 11, 0, 0, 0, 0, 1, 0, 0, 12, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
54, 11715, 120, 1, 0, 0, 0, 8, 4, 0, 160, 1, Neither Agree nor Disagree, ?, ?, Strongly Agree, Somewhat Agree, Somewhat Agree, Strongly Agree, Strongly Agree, Somewhat Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Strongly Disagree, ?, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, ?, ?, ?, F, ?
